,date,t1_name,t2_name,t1_batAvg,t2_batAvg,t1_OBP,t2_OBP,t1_OPS,t2_OPS,t1_slug,t2_slug,t1_ERA,t2_ERA,t1_winner?
1000,"Friday, June 16, 2017",ARI,PHI,0.324,0.156,0.366,0.206,0.825,0.55,0.459,0.344,2.0,5.0,1
1001,"Friday, June 16, 2017",CHC,PIT,0.297,0.229,0.366,0.308,0.825,0.708,0.459,0.4,5.0,9.0,1
1002,"Friday, June 16, 2017",SEA,TEX,0.212,0.333,0.278,0.429,0.581,1.012,0.303,0.583,7.88,4.0,0
1003,"Friday, June 16, 2017",CHW,TOR,0.359,0.258,0.395,0.324,0.985,0.904,0.59,0.581,4.0,10.0,1
1004,"Saturday, June 17, 2017",KCR,LAA,0.067,0.371,0.097,0.421,0.163,1.078,0.067,0.657,10.12,0.0,0
1005,"Saturday, June 17, 2017",MIA,ATL,0.256,0.372,0.341,0.4,0.7,1.005,0.359,0.605,7.71,6.3,0
1006,"Saturday, June 17, 2017",STL,BAL,0.263,0.385,0.349,0.467,0.875,1.338,0.526,0.872,15.75,6.0,0
1007,"Saturday, June 17, 2017",LAD,CIN,0.308,0.297,0.378,0.333,1.07,0.874,0.692,0.541,2.0,9.0,1
1008,"Saturday, June 17, 2017",SFG,COL,0.286,0.389,0.342,0.436,0.656,0.853,0.314,0.417,4.5,1.0,0
1009,"Saturday, June 17, 2017",TBR,DET,0.25,0.229,0.333,0.27,0.615,0.642,0.281,0.371,2.0,3.0,1
1010,"Saturday, June 17, 2017",BOS,HOU,0.103,0.344,0.133,0.343,0.34,1.03,0.207,0.688,7.88,1.0,0
1011,"Saturday, June 17, 2017",SDP,MIL,0.214,0.175,0.283,0.214,0.902,0.614,0.619,0.4,4.09,5.73,1
1012,"Saturday, June 17, 2017",CLE,MIN,0.359,0.235,0.457,0.257,1.072,0.522,0.615,0.265,2.0,8.0,1
